                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4877,                    0.6,                      1,                 1.5078,             0.00023584,             0.00023584,             0.00023584
                      2,                0.69567,                    0.8,                      1,                 1.0586,             0.00046915,             0.00046915,             0.00046915
                      3,                0.29625,                    0.8,                      1,                 1.0977,             0.00069774,             0.00069774,             0.00069774
                      4,                 0.1708,                    0.8,                      1,                 1.0215,             0.00069279,             0.00069279,             0.00069279
                      5,                0.12053,                      1,                      1,                0.98145,             0.00068573,             0.00068573,             0.00068573
                      6,                0.10499,                    0.8,                      1,                 1.0791,             0.00067866,             0.00067866,             0.00067866
                      7,                0.08278,                    0.8,                      1,                  1.043,             0.00067159,             0.00067159,             0.00067159
                      8,                0.06221,                    0.8,                      1,                 1.0273,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05162,                      1,                      1,                0.95312,             0.00065745,             0.00065745,             0.00065745
                     10,                0.05165,                    0.8,                      1,                 1.0449,             0.00065038,             0.00065038,             0.00065038
                     11,                0.04651,                    0.8,                      1,                 1.1055,             0.00064331,             0.00064331,             0.00064331
                     12,                0.04546,                    0.8,                      1,                 1.0967,             0.00063625,             0.00063625,             0.00063625
                     13,                0.03073,                    0.8,                      1,                 1.0967,             0.00062918,             0.00062918,             0.00062918
                     14,                0.03761,                    0.8,                      1,                 1.0879,             0.00062211,             0.00062211,             0.00062211
                     15,                   0.03,                    0.8,                      1,                 1.0557,             0.00061504,             0.00061504,             0.00061504
                     16,                0.03093,                      1,                      1,                0.91748,             0.00060797,             0.00060797,             0.00060797
                     17,                0.03458,                    0.8,                      1,                 1.0772,              0.0006009,              0.0006009,              0.0006009
                     18,                0.02349,                      1,                      1,                0.91455,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.0242,                    0.8,                      1,                 1.0459,             0.00058677,             0.00058677,             0.00058677
                     20,                0.01931,                      1,                      1,                0.91895,              0.0005797,              0.0005797,              0.0005797
                     21,                0.03143,                    0.8,                      1,                 1.0693,             0.00057263,             0.00057263,             0.00057263
                     22,                0.02031,                      1,                      1,                 0.9292,             0.00056556,             0.00056556,             0.00056556
                     23,                0.01793,                    0.8,                      1,                 1.0234,             0.00055849,             0.00055849,             0.00055849
                     24,                0.02057,                    0.8,                      1,                 1.0918,             0.00055142,             0.00055142,             0.00055142
                     25,                0.02947,                    0.8,                      1,                  1.084,             0.00054435,             0.00054435,             0.00054435
                     26,                0.02037,                      1,                      1,                0.91064,             0.00053728,             0.00053728,             0.00053728
                     27,                0.01244,                      1,                      1,                0.97363,             0.00053022,             0.00053022,             0.00053022
                     28,                0.01066,                      1,                      1,                0.96924,             0.00052315,             0.00052315,             0.00052315
                     29,                0.01794,                    0.8,                      1,                 1.0498,             0.00051608,             0.00051608,             0.00051608
                     30,                 0.0163,                      1,                      1,                0.91211,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01252,                      1,                      1,                0.92285,             0.00050194,             0.00050194,             0.00050194
                     32,                0.01281,                      1,                      1,                0.91602,             0.00049487,             0.00049487,             0.00049487
                     33,                0.01497,                      1,                      1,                0.90625,              0.0004878,              0.0004878,              0.0004878
                     34,                 0.0113,                      1,                      1,                 0.9502,             0.00048074,             0.00048074,             0.00048074
                     35,                0.01726,                      1,                      1,                 0.9082,             0.00047367,             0.00047367,             0.00047367
                     36,                 0.0199,                    0.8,                      1,                 1.0166,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01047,                      1,                      1,                 0.9082,             0.00045953,             0.00045953,             0.00045953
                     38,                0.00682,                      1,                      1,                0.90527,             0.00045246,             0.00045246,             0.00045246
